method,attack,strength,P,Q_gen,FID,CLIP_FID,aesthetics_delta,artifacts
flexible,Dist-Rotation,0.5,0.0,0.1878397378605102,484.83592335438874,130.54392979321992,nan,nan
flexible,Dist-Rotation,0.75,0.0,0.13160451141667692,557.7081537204299,127.15667143126751,nan,nan
flexible,Dist-Rotation,1.0,0.0,0.19440341606914235,584.3222242290254,119.60880492343988,nan,nan
flexible,DistCom-All,0.0,1.0,0.29063048347547166,464.47638493619564,124.89609377007585,nan,nan
flexible,DistCom-All,0.25,0.0,0.11568035036815683,575.1484946416371,126.53271095539732,nan,nan
flexible,DistCom-All,0.5,0.0,0.2689025236825152,468.23311352964055,126.14731484062983,nan,nan
flexible,DistCom-All,0.75,0.0,0.4233513699276774,415.1484493929127,119.30984130056727,nan,nan
flexible,DistCom-All,1.0,0.0,0.40552739176146213,417.77451194664206,120.65958379440463,nan,nan
flexible,DistCom-Deg,0.0,1.0,0.29063048347547166,464.47638493619564,124.89609377007585,nan,nan
flexible,DistCom-Deg,0.25,1.0,0.2674348416367642,589.7824030770931,113.35703805359277,nan,nan
flexible,DistCom-Deg,0.5,0.002,0.22897098985258693,539.9902101548498,121.64243906709189,nan,nan
flexible,DistCom-Deg,0.75,0.0,0.36786161058601946,505.3883056721531,114.75520208775939,nan,nan
flexible,DistCom-Deg,1.0,0.0,0.31163515472110387,539.8368411151677,115.39868577136914,nan,nan
flexible,DistCom-Geo,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,DistCom-Geo,0.25,0.0,0.16300729068798048,484.7149915297579,135.90714013741137,nan,nan
flexible,DistCom-Geo,0.5,0.0,0.150736686082455,510.69723688697076,130.64023993527516,nan,nan
flexible,DistCom-Geo,0.75,0.0,0.0907722259940413,536.8508958153022,133.5280893368334,nan,nan
flexible,DistCom-Geo,1.0,0.0,0.05227503581961218,629.8118072770541,128.47849442725618,nan,nan
flexible,DistCom-Photo,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,DistCom-Photo,0.25,1.0,0.3438696500016186,462.49350970684196,121.07253579057455,nan,nan
flexible,DistCom-Photo,0.5,1.0,0.2834922136905803,499.0569336244398,121.8084638671512,nan,nan
flexible,DistCom-Photo,0.75,1.0,0.18498248151507882,557.7124955779677,123.1141039718064,nan,nan
flexible,DistCom-Photo,1.0,1.0,0.16692044717933066,556.7754963791214,124.5801833237329,nan,nan
